"Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"Region","Big Sandy","VSCIVCPMI","55Pct",10,50.8565695435265,"",44.7118430229035,53.047370883658
"Region","Big Sandy","VSCIVCPMI","60Pct",12,51.7270292346073,"",45.7316574924616,55.9765856611165
"Region","Big Sandy","VSCIVCPMI","65Pct",14,52.6570356333395,"",50.1869442516399,61.004562110629
"Region","Big Sandy","VSCIVCPMI","70Pct",15,52.8953840552584,"",50.8020279924141,64.425542009404
"Region","Big Sandy","VSCIVCPMI","75Pct",15,53.0434332863702,"",50.8814202321674,71.5913727452725
"Region","Big Sandy","VSCIVCPMI","80Pct",17,56.0306708111283,"",52.8253858736423,71.484970384974
"Region","Big Sandy","VSCIVCPMI","85Pct",20,61.038423272161,"",53.0098684538034,71.6070215999558
"Region","Big Sandy","VSCIVCPMI","90Pct",25,68.7391254986229,"",56.5976478392814,73.4513153554771
"Region","Big Sandy","VSCIVCPMI","95Pct",27,71.6006917535153,"",61.9369980762414,75.1
"Region","Big Sandy","VSCIVCPMI","99Pct",28,72.5970757540281,"",71.5984880484758,75.1
"Region","Big Sandy","VSCIVCPMI","Mean",30,50.1981510499377,"1.96873376864912",46.3395037682376,54.0567983316378
"Region","Big Sandy","VSCIVCPMI","Variance",30,111.259875385592,"24.7438952307807",62.7627318960294,159.757018875155
"Region","Big Sandy","VSCIVCPMI","Std. Deviation",30,10.5479796826498,"1.17292106996953",8.2490966288013,12.8468627364982
"Region","Clinch-Powell","VSCIVCPMI","1Pct",1,33.78991647,"",33.78991647,43.7440306595406
"Region","Clinch-Powell","VSCIVCPMI","5Pct",2,42.1689568059398,"",33.78991647,50.3959042421679
"Region","Clinch-Powell","VSCIVCPMI","10Pct",4,48.8749211791368,"",33.78991647,56.4714959905124
"Region","Clinch-Powell","VSCIVCPMI","15Pct",9,54.2700489722591,"",42.5614201336512,58.8435381858121
"Region","Clinch-Powell","VSCIVCPMI","20Pct",12,57.4270161943831,"",46.6406195863771,59.639183592207
"Region","Clinch-Powell","VSCIVCPMI","25Pct",14,58.9561623078757,"",52.4716034115791,60.6621781975355
"Region","Clinch-Powell","VSCIVCPMI","30Pct",15,59.5284479851663,"",55.3768670411932,61.9818347568187
"Region","Clinch-Powell","VSCIVCPMI","35Pct",15,59.8422694190347,"",57.6464560290713,62.0412641288351
"Region","Clinch-Powell","VSCIVCPMI","40Pct",17,61.9463616802289,"",58.1208553408429,66.7520340802373
"Region","Clinch-Powell","VSCIVCPMI","45Pct",17,61.9971532402599,"",59.3471887250609,68.7103330392365
"Region","Clinch-Powell","VSCIVCPMI","50Pct",17,62.0479448002909,"",59.6389204578903,69.326444984325
"Region","Clinch-Powell","VSCIVCPMI","55Pct",20,65.4245711660037,"",59.8331795046717,71.1532753685181
"Region","Clinch-Powell","VSCIVCPMI","60Pct",22,67.3771099038121,"",61.9466366542527,74.7890036723742
"Region","Clinch-Powell","VSCIVCPMI","65Pct",24,68.9048242867809,"",62.0030362145924,77.2643194239755
"Region","Clinch-Powell","VSCIVCPMI","70Pct",26,69.6543453753792,"",62.5026962769186,79.1635662083042
